city_name,city_slug,city_url,category_url,http_status,html_bytes,poi_link_count,unique_poi_link_count,strict_match_count,broad_match_count,elapsed_seconds,error
崇左市,chongzuo,http://poi.mapbar.com/chongzuo/,http://poi.mapbar.com/chongzuo/D30/,,,0,0,0,0,1.119,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chongzuo/D30/')
楚雄彝族自治州,chuxiong,http://poi.mapbar.com/chuxiong/,http://poi.mapbar.com/chuxiong/D30/,,,0,0,0,0,1.14,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chuxiong/D30/')
滁州市,chuzhou,http://poi.mapbar.com/chuzhou/,http://poi.mapbar.com/chuzhou/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/chuzhou/D30/')
大理白族自治州,dali,http://poi.mapbar.com/dali/,http://poi.mapbar.com/dali/D30/,,,0,0,0,0,1.137,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dali/D30/')
大连市,dalian,http://poi.mapbar.com/dalian/,http://poi.mapbar.com/dalian/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dalian/D30/')
丹东市,dandong,http://poi.mapbar.com/dandong/,http://poi.mapbar.com/dandong/D30/,,,0,0,0,0,1.11,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dandong/D30/')
儋州市,danzhou,http://poi.mapbar.com/danzhou/,http://poi.mapbar.com/danzhou/D30/,,,0,0,0,0,1.104,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/danzhou/D30/')
大庆市,daqing,http://poi.mapbar.com/daqing/,http://poi.mapbar.com/daqing/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/daqing/D30/')
大同市,datong,http://poi.mapbar.com/datong/,http://poi.mapbar.com/datong/D30/,,,0,0,0,0,1.116,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/datong/D30/')
大兴安岭地区,daxinganling,http://poi.mapbar.com/daxinganling/,http://poi.mapbar.com/daxinganling/D30/,,,0,0,0,0,1.105,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/daxinganling/D30/')
达州市,dazhou,http://poi.mapbar.com/dazhou/,http://poi.mapbar.com/dazhou/D30/,,,0,0,0,0,1.11,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dazhou/D30/')
德宏傣族景颇族自治州,dehong,http://poi.mapbar.com/dehong/,http://poi.mapbar.com/dehong/D30/,,,0,0,0,0,1.102,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dehong/D30/')
德阳市,deyang,http://poi.mapbar.com/deyang/,http://poi.mapbar.com/deyang/D30/,,,0,0,0,0,1.099,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/deyang/D30/')
德州市,dezhou,http://poi.mapbar.com/dezhou/,http://poi.mapbar.com/dezhou/D30/,,,0,0,0,0,1.125,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dezhou/D30/')
定安县,dingan,http://poi.mapbar.com/dingan/,http://poi.mapbar.com/dingan/D30/,,,0,0,0,0,1.124,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dingan/D30/')
定西市,dingxi,http://poi.mapbar.com/dingxi/,http://poi.mapbar.com/dingxi/D30/,,,0,0,0,0,1.108,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dingxi/D30/')
迪庆藏族自治州,diqing,http://poi.mapbar.com/diqing/,http://poi.mapbar.com/diqing/D30/,,,0,0,0,0,1.127,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/diqing/D30/')
东方市,dongfang,http://poi.mapbar.com/dongfang/,http://poi.mapbar.com/dongfang/D30/,,,0,0,0,0,1.134,HTTPError('404 Client Error: Not Found for url: https://poi.mapbar.com/dongfang/D30/')
