adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
220300,四平,四平市,SiPingShi,124.350599,43.166764,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[2],$.data.cityData.provinces.220000.cities[2]
220400,辽源,辽源市,LiaoYuanShi,125.144676,42.887961,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[3],$.data.cityData.provinces.220000.cities[3]
220500,通化,通化市,TongHuaShi,125.939721,41.728312,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[4],$.data.cityData.provinces.220000.cities[4]
220600,白山,白山市,BaiShanShi,126.414274,41.944132,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[5],$.data.cityData.provinces.220000.cities[5]
220700,松原,松原市,SongYuanShi,124.825321,45.14191,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[6],$.data.cityData.provinces.220000.cities[6]
220800,白城,白城市,BaiChengShi,122.838102,45.620131,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[7],$.data.cityData.provinces.220000.cities[7]
222400,延边朝鲜族自治州,延边朝鲜族自治州,YanBian ChaoXianZu ZiZhiZhou,129.470605,42.909426,prefecture,22,,False,1,$.data.cityData.provinces.220000.cities[8],$.data.cityData.provinces.220000.cities[8]
230000,黑龙江,黑龙江省,HeiLongJiangSheng,126.661998,45.742253,province,23,,False,1,$.data.cityData.provinces.230000,$.data.cityData.provinces.230000
230100,哈尔滨,哈尔滨市,HaErBinShi,126.53505,45.802981,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[0],$.data.cityData.provinces.230000.cities[0]
230200,齐齐哈尔,齐齐哈尔市,QiQiHaErShi,123.918193,47.354892,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[1],$.data.cityData.provinces.230000.cities[1]
230300,鸡西,鸡西市,JiXiShi,130.969385,45.295087,prefecture,23,,False,1,$.data.cityData.provinces.230000.cities[2],$.data.cityData.provinces.230000.cities[2]
