adcode,name,label,spell,longitude,latitude,level,province_code,province,official_market,occurrences,path,paths
331100,丽水,丽水市,LiShuiShi,119.923249,28.467694,prefecture,33,浙江,True,1,$.data.cityData.provinces.330000.cities[10],$.data.cityData.provinces.330000.cities[10]
340000,安徽,安徽省,AnHuiSheng,117.330139,31.734559,province,34,安徽,True,1,$.data.cityData.provinces.340000,$.data.cityData.provinces.340000
340100,合肥,合肥市,HeFeiShi,117.227267,31.820567,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[0],$.data.cityData.provinces.340000.cities[0]
340200,芜湖,芜湖市,WuHuShi,118.433065,31.352614,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[1],$.data.cityData.provinces.340000.cities[1]
340300,蚌埠,蚌埠市,BengBuShi,117.388566,32.91682,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[2],$.data.cityData.provinces.340000.cities[2]
340400,淮南,淮南市,HuaiNanShi,117.018603,32.585384,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[3],$.data.cityData.provinces.340000.cities[3]
340500,马鞍山,马鞍山市,MaAnShanShi,118.50685,31.668765,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[4],$.data.cityData.provinces.340000.cities[4]
340600,淮北,淮北市,HuaiBeiShi,116.798362,33.956264,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[5],$.data.cityData.provinces.340000.cities[5]
340700,铜陵,铜陵市,TongLingShi,117.811298,30.945214,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[6],$.data.cityData.provinces.340000.cities[6]
340800,安庆,安庆市,AnQingShi,117.115349,30.531828,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[7],$.data.cityData.provinces.340000.cities[7]
341000,黄山,黄山市,HuangShanShi,118.337643,29.714886,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[8],$.data.cityData.provinces.340000.cities[8]
341100,滁州,滁州市,ChuZhouShi,118.333439,32.255904,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[9],$.data.cityData.provinces.340000.cities[9]
341200,阜阳,阜阳市,FuYangShi,115.814252,32.891032,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[10],$.data.cityData.provinces.340000.cities[10]
341300,宿州,宿州市,SuZhouShi,116.96419,33.647726,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[11],$.data.cityData.provinces.340000.cities[11]
341500,六安,六安市,LuAnShi,116.519729,31.735892,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[12],$.data.cityData.provinces.340000.cities[12]
341600,亳州,亳州市,BoZhouShi,115.778588,33.846285,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[13],$.data.cityData.provinces.340000.cities[13]
341700,池州,池州市,ChiZhouShi,117.495663,30.674264,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[14],$.data.cityData.provinces.340000.cities[14]
341800,宣城,宣城市,XuanChengShi,118.759127,30.939278,prefecture,34,安徽,True,1,$.data.cityData.provinces.340000.cities[15],$.data.cityData.provinces.340000.cities[15]
360000,江西,江西省,JiangXiSheng,115.816587,28.637234,province,36,江西,True,1,$.data.cityData.provinces.360000,$.data.cityData.provinces.360000
360100,南昌,南昌市,NanChangShi,115.857972,28.682976,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[0],$.data.cityData.provinces.360000.cities[0]
360200,景德镇,景德镇市,JingDeZhenShi,117.184892,29.2744,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[1],$.data.cityData.provinces.360000.cities[1]
360300,萍乡,萍乡市,PingXiangShi,113.887147,27.658721,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[2],$.data.cityData.provinces.360000.cities[2]
360400,九江,九江市,JiuJiangShi,115.95356,29.66116,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[3],$.data.cityData.provinces.360000.cities[3]
360500,新余,新余市,XinYuShi,114.916665,27.818553,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[4],$.data.cityData.provinces.360000.cities[4]
360600,鹰潭,鹰潭市,YingTanShi,117.039532,28.272092,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[5],$.data.cityData.provinces.360000.cities[5]
360700,赣州,赣州市,GanZhouShi,114.933494,25.831139,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[6],$.data.cityData.provinces.360000.cities[6]
360800,吉安,吉安市,JiAnShi,114.96681,27.091243,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[7],$.data.cityData.provinces.360000.cities[7]
360900,宜春,宜春市,YiChunShi,114.416826,27.816245,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[8],$.data.cityData.provinces.360000.cities[8]
361000,抚州,抚州市,FuZhouShi,116.358054,27.948979,prefecture,36,江西,True,1,$.data.cityData.provinces.360000.cities[9],$.data.cityData.provinces.360000.cities[9]
